-650,40,304.25,273.9
-648,42,303.95,274.5
-646,44,303.75,275.5
-644,46,303.6,275.05
-642,48,303.65,274.6
-640,50,303.35,274.75
-638,52,303.4,274
-636,54,303.5,273.7
-634,56,303.2,274.05
-632,58,303.4,273.95
-630,60,303.3,274
-628,62,303.4,274.05
-626,64,303.3,272.65
-624,66,303.15,272.3
-622,68,303.35,272.6
-620,70,303.3,271.85
-618,72,304.25,272.1
-616,74,303.8,271.75
-614,76,304.2,271.85
-612,78,303.8,271.9
-610,80,303.65,271.15
-608,82,304,272.1
-606,84,303.9,272.15
-604,86,304.5,272.2
-602,88,304.4,271.15
-600,90,304.6,270.7
-598,92,304.8,271.2
-596,94,304.8,270.6
-594,96,304.85,269.95
-592,98,304.4,271.4
-590,100,305.45,270.25
-588,102,304.8,269.2
-586,104,305,270.75
-584,106,305.25,269.65
-582,108,304.7,270.45
-580,110,304.7,271.2
-578,112,304.6,269.95
-576,114,304.4,268.65
-574,116,304.6,270.45
-572,118,305.05,269.8
-570,120,304.7,269.55
-568,122,305.1,270.95
-566,124,305.05,269.7
-564,126,304.9,269.2
-562,128,305,270.6
-560,130,304.95,271
-558,132,305.1,270.15
-556,134,305.25,271
-554,136,305,269.65
-552,138,304.85,268.25
-550,140,305.15,269.65
-548,142,304,267.75
-546,144,304.7,267
-544,146,304.6,268.65
-542,148,304.55,267.9
-540,150,304.2,267.6
-538,152,304.55,269.75
-536,154,305.05,268.9
-534,156,304.4,268.55
-532,158,304.5,269.4
-530,160,305,268.9
-528,162,304.9,268.45
-526,164,304.75,267.75
-524,166,304.95,267.15
-522,168,304.65,266.65
-520,170,304.45,266.95
-518,172,305.2,267.3
-516,174,304.75,267.6
-514,176,304.5,266.6
-512,178,304.65,266.9
-510,180,304.2,267.25
-508,182,304.45,266.8
-506,184,304.8,267.35
-504,186,304.8,266.8
-502,188,305.15,267.9
-500,190,305.15,266.2
-498,192,305.2,265.7
-496,194,305.55,266.55
-494,196,305.35,265.3
-492,198,304.9,265.15
-490,200,304.85,266.3
-488,202,305.25,264.8
-486,204,305.05,264.4
-484,206,305.45,265.2
-482,208,305.55,264.8
-480,210,305.5,264.7
-478,212,305.6,266
-476,214,305.3,265.6
-474,216,304.95,265.15
-472,218,305.05,266.15
-470,220,304.1,264.95
-468,222,304.05,265.15
-466,224,304.5,265.3
-464,226,304.45,264.55
-462,228,303.8,264.4
-460,230,303.4,265.1
-458,232,303.55,263.85
-456,234,303.9,263.7
-454,236,304.4,265.35
-452,238,304.25,265.45
-450,240,304.5,265.1
-448,242,303.7,266.3
-446,244,304.45,266.15
-444,246,304.4,266
-442,248,303.6,265.25
-440,250,304.6,264.65
-438,252,303.8,264.3
-436,254,303.65,264.9
-434,256,303.65,264.1
-432,258,303.4,263.35
-430,260,303.75,263.35
-428,262,303.9,262.35
-426,264,303.6,263.35
-424,266,304,264.3
-422,268,303.55,264.35
-420,270,304,263.7
-418,272,304.3,263.55
-416,274,303.8,264.05
-414,276,303.8,263.95
-412,278,303.85,263.85
-410,280,304.1,265
-408,282,303.9,263.95
-406,284,304,262.8
-404,286,303.85,261.55
-402,288,304.45,262.25
-400,290,304.95,262.95
-398,292,305.35,263.7
-396,294,305.05,263.7
-394,296,305.65,263.75
-392,298,305.7,263.85
-390,300,305.4,263.55
-388,302,306.35,264.2
-386,304,306.3,263.1
-384,306,306.15,261.95
-382,308,306.15,261.95
-380,310,306.3,262.2
-378,312,306.35,262.45
-376,314,306.55,262.85
-374,316,306.6,263
-372,318,306.55,262.4
-370,320,306.4,263.95
-368,322,305.85,263.2
-366,324,306.05,263.8
-364,326,306.25,264.35
-362,328,306.1,262.55
-360,330,306.15,262.55
-358,332,306.1,262.55
-356,334,306.55,262.15
-354,336,306.15,262.35
-352,338,306.15,262.45
-350,340,306.2,262.45
-348,342,305.55,263.35
-346,344,305.55,263.05
-344,346,305.55,262.8
-342,348,305.25,261.9
-340,350,305.5,262.65
-338,352,305.55,262.15
-336,354,305.2,261.7
